50 Cent
Richard Jenkins
Richard Kind
Richard Madden
Richenda Carey
Rick Gonzalez
Rihanna
Rila Fukushima
Riley Keough
Riley Thomas Stewart
Rima Te Wiata
Rinko Kikuchi
Rip Torn
Rita Cortese
Riz Ahmed
Rizwan Manji
Rob Corddry
Rob Riggle
Robbie Amell
Robert Capron
Robert Carlyle
Robert De Niro
Robert Downey Jr.
Robert Duvall
Robert Hoffman
Robert Knepper
Robert Patrick
Robert Pattinson
Robert Redford
Robert Sheehan
Robert Toupin
Robin Williams
Robin Wright
Rodrigo Santoro
Roger Bart
Rolf Lassgård
Romain Duris
Roman Jossart
Roman Kolinka
Ron Livingston
Ron Perlman
Ronnie Gene Blevins
Rooney Mara
Rory Cochrane
Rory J. Saper
Rosamund Pike
Rosario Dawson
Rose Byrne
Rose Leslie
Rose McGowan
Rosemarie DeWitt
Rosie Huntington-Whiteley
Rosie Shaw
Ross Kimball
Rostislav Bershauer
Rotimi
Ruby Barnhill
Rubén Blades
Rudy Youngblood
Rufus Sewell
Rupert Evans
Rupert Friend
Rupert Grint
Russell Brand
Russell Crowe
Ruta Gedmintas
Ruth Negga
Ruth Wilson
Ryan Gosling
Ryan Guzman
Ryan Lee
Ryan Potter
Ryan Reynolds
Ryoko Seta
Ryô Narita
Ryûnosuke Kamiki
Sacha Baron Cohen
Sachet Engineer
Sakshi Tanwar
Salim Kechiouche
Salli Richardson-Whitfield
Sally Field
Sally Hawkins
Sally Phillips
Salma Hayek
Sam Claflin
Sam Elliott
Sam Neill
Sam Quartin
Sam Riley
Sam Rockwell
Sam Shepard
Sam Trammell
Sam Worthington
Samantha Isler
Samantha Morton
Samantha Robinson
Samantha Sloyan
Samuel L. Jackson
Sandra Bullock
Sandra Hüller
Sandra Kinder
Sanjay Dutt
Sanjeev Bhaskar
Sanya Malhotra
Saoirse Ronan
Saori Hayami
Sarah Butler
Sarah Clarke
Sarah Dumont
Sarah Gadon
Sarah Hyland
Sarah Jessica Parker
Sarah Paulson
Sarah Polley
Sarah Roemer
Sarah Silverman
Sarah Snook
Sarita Choudhury
Sasha Lane
Satomi Ishihara
Saurabh Shukla
Scarlett Johansson
Scorcher
Scott Adkins
Scott Adsit
Scott Eastwood
Scott Glenn
Scott Lawrence
Scott Mescudi
Scott Speedman
Sean Bean
Sean Bott
Sean Bridgers
Sean Faris
Sean Patrick Thomas
Sean Penn
Seann William Scott
Sebastian Koch
Sebastian Pigott
Sebastian Stan
Selena Gomez
Selma Blair
Sergej Trifunovic
Sergi López
Seth MacFarlane
Seth Rogen
Seychelle Gabriel
Shad Moss
Shah Rukh Khan
Shahab Hosseini
Shailene Woodley
Shameik Moore
Shannon Woodward
Shareeka Epps
Shariff Earp
Sharlto Copley
Sharman Joshi
Sharon Percy
Shawn Roberts
Shea Adams
Sheila Kelley
Shelley Hennig
Sheri Moon Zombie
Shia LaBeouf
Shiloh Fernandez
Shone Romulus
Sienna Guillory
Sienna Miller
Sigourney Weaver
Sigrid Bouaziz
Simon Cotton
Simon Helberg
Simon Pegg
Simona Stasová
Sixtine Murat
Skyler Gisondo
Slobodan Bestic
So-ri Moon
Sofia Black-D'Elia
Soledad Villamil
Sonoya Mizuno
Soo-an Kim
Sophie Nélisse
Sophie Okonedo
Sophie Perry
Srdjan 'Zika' Todorovic
Stacy Martin
Stanley Tucci
Steele Stebbins
Stellan Skarsgård
Stephen Curry
Stephen Dorff
Stephen Henderson
Stephen Lang
Stephen Merchant
Stephen Moyer
Stephen Rea
Steve Buscemi
Steve Carell
Steve Coogan
Steve Lantz
Steve Martin
Steve Oram
Steve Tom
Steve Wiebe
Steve Zahn
Steven Krueger
Steven Mackintosh
Steven Pasquale
Steven Yeun
Storm Acheche Sahlstrøm
Storm Reid
Stuart Graham
Su Elliot
Sue Dahlman
Sullivan Stapleton
Sunny Pawar
Suraj Sharma
Susan Loughnane
Susan Sarandon
Susie Porter
Suzanne Clément
Sylvester Stallone
Sylvia Hoeks
T.I.
T.J. Miller
T.R. Knight
Tabu
Tadanobu Asano
Taika Waititi
Taissa Farmiga
Tamannaah Bhatia
Tammy Blanchard
Tanay Chheda
Tangie Ambrose
Tania Raymonde
Tao Okamoto
Taraji P. Henson
Taraneh Alidoosti
Taron Egerton
Tatiana Pauhofová
Taylor Kitsch
Taylor Lautner
Taylor Schilling
Taylor Swift
Ted Levine
Temuera Morrison
Teodora Duhovnikova
Terence Stamp
Teresa Navarro
Teresa Palmer
Teri Hatcher
Terrence Howard
Terry Chen
Terry Crews
Tessa Thompson
Teyonah Parris
Thandie Newton
Theo James
Theo Rossi
Thomas Bo Larsen
Thomas Brodie-Sangster
Thomas Haden Church
Thomas Jane
Thomas Lennon
Thomas Loibl
Thomas M. Wright
Thomas Mann
Thomas Middleditch
Tian Jing
Tiffany Haddish
Tijuana Ricks
Til Schweiger
Tilda Swinton
Tim Allen
Tim Blake Nelson
Tim McGraw
Tim Pigott-Smith
Tim Roth
Timothy Olyphant
Timothy Spall
Tina Fey
Tobey Maguire
Tobias Menzies
Toby Jones
Toby Kebbell
Tom Costello
Tom Cruise
Tom Cullen
Tom Felton
Tom Hanks
Tom Hardy
Tom Hiddleston
Tom Holland
Tom Hudson
Tom Hughes
Tom Mison
Tom Prior
Tom Sizemore
Tom Wilkinson
Tommy Dewey
Tommy Lee Jones
Toni Collette
Tony Amendola
Tony Danza
Tony Goldwyn
Tony Revolori
Tony Shalhoub
Topher Grace
Tracy Letts
Travis Fimmel
Travis Tope
Trenton Rogers
Trey Songz
Ty Simpkins
Tye Sheridan
Tyler Hoechlin
Tyler James Williams
Tyler Perry
Tyne Daly
Tyrese Gibson
Ulrich Mühe
Ulrich Tukur
Usher Raymond
Val Kilmer
Valerie Mahaffey
Vanessa Ferlito
Vanessa Hudgens
Vanessa Lachey
Vanessa Ross
Vera Farmiga
Vernetta Lopez
Vicky Krieps
Victoria Justice
Viggo Mortensen
Vilen Babichev
Vin Diesel
Vince Vaughn
Vincent Cassel
Vincent D'Onofrio
Vincent Ebrahim
Vincent Kartheiser
Ving Rhames
Vinnie Jones
Viola Davis
Walton Goggins
Ward Horton
Wei Tang
Wendi McLendon-Covey
Wendy Crewson
Wentworth Miller
Wenwen Han
Werner Herzog
Wes Bentley
Wesley Elder
Will Arnett
Will Dalton
Will Ferrell
Will Poulter
Will Smith
Will Yun Lee
Willem Dafoe
William Atherton
William Fichtner
William Hurt
William Moseley
Winona Ryder
Woo-hee Chun
Woody Allen
Woody Harrelson
Wyatt Russell
Xavier Samuel
Yoo Gong
Yu-mi Jung
Yun-Fat Chow
Yutaka Takenouchi
Zac Efron
Zac Mattoon O'Brien
Zach Galifianakis
Zach Grenier
Zachary Bennett
Zachary Gordon
Zachary Levi
Zachary Quinto
Zachery Ty Bryan
Zoe Kazan
Zoe Saldana
Zoey Deutch
Zooey Deschanel
Zoë Bell
Zoë Kravitz
Émilie Leclerc
Ólafur Darri Ólafsson
Óscar Jaenada
